curriculum
id_curriculum;deleted;year_of_program;id_course;id_study_program;part_of_curriculum;id_study_year
108;false;1;63254;1000471;6;5
109;false;2;63254;1000471;6;5
110;false;2;63737;1000470;2;5
111;false;2;63737;1000468;3;5
112;false;3;63737;1000468;3;5
113;false;2;63725;1000470;2;5
114;false;2;63727;1000470;2;5
115;false;3;63255;1000468;6;5
116;false;3;63255;1000407;6;5
117;false;1;63255;1000471;6;5
118;false;2;63255;1000471;6;5
119;false;3;63732;1000470;1;5
120;false;3;63256;1000468;6;5
121;false;3;63256;1000407;6;5
122;false;1;63256;1000471;6;5
123;false;3;63256;1000475;6;5
124;false;2;63724;1000470;2;5
125;false;2;63738;1000470;2;5
126;false;3;63249;1000468;4;5
127;false;3;63249;1000407;4;5
128;false;1;63249;1000471;4;5
129;false;2;63249;1000471;4;5
130;false;3;63250;1000468;4;5
131;false;3;63250;1000407;4;5
132;false;1;63250;1000471;4;5
133;false;2;63250;1000475;4;5
134;false;1;63215;1000468;1;5
135;false;1;63707;1000470;1;5
136;false;2;63713;1000470;2;5
137;false;3;63226;1000468;5;5
138;false;3;63226;1000407;5;5
139;false;1;63226;1000471;5;5
140;false;2;63226;1000471;5;5
141;false;2;63216;1000468;1;5
142;false;3;63259;1000468;7;5
143;false;3;63259;1000407;7;5
144;false;1;63259;1000471;7;5
145;false;2;63259;1000471;7;5
146;false;3;63258;1000468;7;5
147;false;3;63258;1000407;7;5
148;false;1;63258;1000471;7;5
149;false;2;63258;1000471;7;5
150;false;2;63716;1000470;2;5
151;false;3;63261;1000468;8;5
152;false;3;63261;1000407;8;5
153;false;1;63261;1000471;8;5
154;false;2;63261;1000471;8;5
155;false;1;63209;1000468;1;5
156;false;2;63209;1000407;1;5
157;false;1;63708;1000470;1;5
158;false;3;63735;1000470;2;5
159;false;2;63284;1000468;3;5
160;false;3;63284;1000468;3;5
161;false;2;63752;1000468;3;5
162;false;3;63752;1000468;3;5
163;false;2;63242;1000468;3;5
164;false;3;63242;1000468;3;5
165;false;2;63213;1000468;1;5
166;false;1;63710;1000470;1;5
167;false;1;63202;1000468;1;5
168;false;1;63202;1001001;1;5
169;false;1;63207;1000468;1;5
170;false;1;63207;1001001;1;5
171;false;1;63205;1000468;1;5
172;false;3;63248;1000468;1;5
173;false;3;63281;1000468;1;5
174;false;3;63214;1000468;1;5
175;false;3;63214;1000407;1;5
176;false;2;63219;1000468;2;5
177;false;3;63219;1000468;2;5
178;false;2;63225;1000468;3;5
179;false;3;63225;1000468;3;5
