course_exam_term
id_course_exam_term;datetime;deleted;duration;notes;type;id_course_organization;id_exam_organizer
33;2018-09-12 10:00:00.000000;false;60;NULL;pisni;14;20
34;2018-01-26 08:00:00.000000;false;70;NULL;pisni;43;23
35;2018-02-14 16:00:00.000000;false;70;NULL;pisni;43;23
36;2018-09-04 16:00:00.000000;false;70;NULL;pisni;43;23
37;2018-02-01 10:00:00.000000;false;60;NULL;pisni;26;33
38;2018-02-16 10:00:00.000000;false;70;NULL;pisni;26;33
39;2018-09-07 11:00:00.000000;false;60;NULL;pisni;26;33
40;2018-01-26 17:00:00.000000;false;90;NULL;pisni;45;59
41;2018-02-13 17:00:00.000000;false;90;NULL;pisni;45;59
42;2018-08-24 17:00:00.000000;false;90;NULL;pisni;45;59
43;2018-07-06 09:00:00.000000;false;70;NULL;pisni;4;3
44;2018-09-06 15:00:00.000000;false;70;NULL;pisni;4;3
45;2018-02-01 10:00:00.000000;false;45;NULL;pisni;50;34
46;2018-02-16 10:00:00.000000;false;45;NULL;pisni;50;34
47;2018-09-12 10:00:00.000000;false;70;NULL;pisni;50;34
48;2018-06-15 08:00:00.000000;false;60;NULL;pisni;39;35
49;2018-07-04 08:00:00.000000;false;60;NULL;pisni;39;35
50;2018-09-12 10:00:00.000000;false;60;NULL;pisni;39;35
51;2018-06-20 09:00:00.000000;false;60;NULL;pisni;20;55
52;2019-07-05 09:00:00.000000;true;60;NULL;pisni;20;55
53;2018-07-05 09:00:00.000000;false;60;NULL;pisni;20;55
54;2018-08-28 09:00:00.000000;false;60;NULL;pisni;20;55
55;2018-01-29 12:00:00.000000;false;60;NULL;pisni;44;1
56;2018-02-07 13:00:00.000000;false;60;NULL;pisni;44;1
57;2018-09-03 13:00:00.000000;false;60;NULL;pisni;44;1
58;2018-06-21 16:00:00.000000;false;60;NULL;pisni;32;43
59;2018-07-04 10:00:00.000000;false;60;NULL;pisni;32;43
60;2018-09-14 16:00:00.000000;false;60;NULL;pisni;32;43
61;2018-06-22 19:00:00.000000;false;60;NULL;pisni;15;30
62;2018-07-10 20:00:00.000000;false;90;NULL;pisni;15;30
63;2018-09-07 19:00:00.000000;false;90;NULL;pisni;15;30
64;2018-06-15 15:00:00.000000;false;40;NULL;pisni;35;48
65;2018-07-02 18:00:00.000000;false;40;NULL;pisni;35;48
66;2018-09-06 13:00:00.000000;false;40;NULL;pisni;35;48
67;2018-06-21 14:00:00.000000;false;45;NULL;pisni;24;26
68;2018-07-11 14:00:00.000000;false;45;NULL;pisni;24;26
69;2018-09-10 14:00:00.000000;false;45;NULL;pisni;24;26
70;2018-06-19 13:00:00.000000;true;45;NULL;pisni;25;38
71;2018-01-30 13:00:00.000000;false;45;NULL;pisni;25;38
72;2018-02-14 16:00:00.000000;false;45;NULL;pisni;25;38
73;2018-09-04 14:00:00.000000;false;45;NULL;pisni;25;38
74;2018-01-24 10:00:00.000000;true;45;NULL;pisni;49;23
75;2018-06-21 13:00:00.000000;false;60;NULL;pisni;49;23
76;2018-07-05 17:00:00.000000;false;60;NULL;pisni;49;23
77;2018-09-10 15:00:00.000000;false;60;NULL;pisni;49;23
78;2018-09-07 12:00:00.000000;false;1;Priimki A-K ob 15:00, priimki L-Ž: 17:00, v sobi R2.56;ustni;35;48
79;2018-09-05 08:00:00.000000;false;300;CLI;ustni;44;1
80;2018-08-29 15:00:00.000000;false;1;Prostor: Peterlinov pavilijon;ustni;45;59
81;2018-09-13 12:00:00.000000;false;40;Samo za študente, ki so dosegli <= 60% na pisnem izpitu.;ustni;18;18
82;2018-09-10 10:00:00.000000;false;60;;ustni;25;38
83;2015-01-22 10:00:00.000000;false;60;NULL;pisni;161;20
84;2015-02-13 10:00:00.000000;false;60;NULL;pisni;161;20
85;2015-09-03 10:00:00.000000;false;60;NULL;pisni;161;20
86;2015-01-23 10:00:00.000000;false;60;Glej učilnico za razpored;pisni;190;23
87;2015-02-10 10:00:00.000000;false;60;Glej učilnico za razpored;pisni;190;23
88;2015-08-28 10:00:00.000000;false;60;Glej učilnico za razpored;pisni;190;23
89;2015-01-26 10:00:00.000000;false;60;NULL;pisni;250;40
90;2015-02-06 08:00:00.000000;false;60;NULL;pisni;250;40
91;2015-09-08 08:00:00.000000;false;60;NULL;pisni;250;40
92;2015-01-29 14:00:00.000000;false;90;NULL;pisni;173;33
93;2015-02-13 09:00:00.000000;false;90;NULL;pisni;173;33
94;2015-09-01 08:00:00.000000;false;90;NULL;pisni;173;33
95;2015-01-26 10:00:00.000000;false;70;Izpit bo potekal v VFP;pisni;192;59
96;2015-02-10 17:00:00.000000;false;90;Izpit bo potekal v VFP;pisni;192;59
97;2015-09-10 11:00:00.000000;false;90;Izpit bo potekal v VFP;pisni;192;59
98;2015-06-22 14:00:00.000000;false;60;NULL;pisni;162;30
99;2015-07-03 08:00:00.000000;false;60;NULL;pisni;162;30
100;2015-09-08 10:00:00.000000;false;90;Predavalnice: P10, P11, P12, P13;pisni;162;30
101;2015-06-17 08:00:00.000000;false;70;NULL;pisni;152;3
102;2015-07-01 08:00:00.000000;false;70;NULL;pisni;152;3
103;2015-09-10 08:00:00.000000;false;70;NULL;pisni;152;3
104;2015-06-15 15:00:00.000000;false;45;NULL;pisni;167;55
105;2015-07-06 08:00:00.000000;false;45;NULL;pisni;167;55
106;2015-09-11 11:00:00.000000;false;45;NULL;pisni;167;55
107;2015-06-16 14:00:00.000000;false;60;NULL;pisni;186;35
108;2015-06-30 08:00:00.000000;false;60;NULL;pisni;186;35
109;2015-09-07 08:00:00.000000;false;60;NULL;pisni;186;35
110;2015-06-19 16:00:00.000000;false;90;NULL;pisni;179;43
111;2015-07-13 16:00:00.000000;false;90;NULL;pisni;179;43
112;2015-09-04 16:00:00.000000;false;90;NULL;pisni;179;43
113;2018-01-24 08:00:00.000000;false;60;Predavalnice: PA, P1, PB, P22;pisni;251;40
114;2018-02-01 08:00:00.000000;false;60;Predavalnice: PA, P1;pisni;251;40
115;2018-09-03 08:00:00.000000;false;60;Predavalnice: P1, P22;pisni;251;40
116;2016-01-20 10:00:00.000000;false;90;NULL;pisni;142;1
117;2016-02-09 10:00:00.000000;false;90;NULL;pisni;142;1
118;2016-09-02 10:00:00.000000;false;90;NULL;pisni;142;1
119;2016-01-22 08:00:00.000000;false;60;NULL;pisni;106;2
120;2016-02-10 08:00:00.000000;false;60;NULL;pisni;106;2
121;2016-09-12 08:00:00.000000;false;60;NULL;pisni;108;2
122;2016-01-25 14:00:00.000000;false;45;NULL;pisni;148;34
123;2016-02-15 14:00:00.000000;false;45;NULL;pisni;148;34
124;2016-08-22 14:00:00.000000;false;45;NULL;pisni;148;34
125;2016-01-22 13:00:00.000000;true;60;NULL;pisni;122;26
126;2016-02-10 13:00:00.000000;true;60;NULL;pisni;122;26
127;2016-08-26 13:00:00.000000;false;60;NULL;pisni;171;26
128;2016-01-28 09:00:00.000000;false;60;NULL;pisni;107;26
129;2016-02-11 09:00:00.000000;true;60;NULL;pisni;254;26
130;2016-09-05 09:00:00.000000;false;60;NULL;pisni;122;26
131;2016-06-15 08:00:00.000000;false;45;NULL;pisni;133;48
132;2016-07-01 09:00:00.000000;false;45;NULL;pisni;133;48
133;2016-09-06 09:00:00.000000;false;45;NULL;pisni;133;48
134;2016-01-19 12:00:00.000000;false;45;NULL;pisni;123;38
135;2016-02-01 12:00:00.000000;false;45;NULL;pisni;123;38
136;2016-09-09 12:00:00.000000;false;45;NULL;pisni;123;38
137;2016-06-20 10:00:00.000000;false;70;NULL;pisni;105;8
138;2016-07-05 10:00:00.000000;false;70;NULL;pisni;105;8
139;2016-09-07 10:00:00.000000;false;70;NULL;pisni;105;8
140;2016-06-15 15:00:00.000000;false;60;NULL;pisni;147;23
141;2016-07-04 15:00:00.000000;false;60;NULL;pisni;147;23
142;2016-09-15 16:00:00.000000;false;60;NULL;pisni;147;23
143;2016-06-17 09:00:00.000000;false;60;NULL;pisni;254;26
144;2016-07-06 09:00:00.000000;false;60;NULL;pisni;254;26
145;2016-09-16 09:00:00.000000;false;60;NULL;pisni;254;26
146;2016-01-20 11:00:00.000000;false;60;NULL;pisni;112;20
147;2016-02-01 09:00:00.000000;false;60;NULL;pisni;112;20
148;2016-09-01 16:00:00.000000;false;60;NULL;pisni;112;20
149;2016-01-25 16:00:00.000000;false;80;NULL;pisni;141;23
150;2016-02-09 14:00:00.000000;false;80;NULL;pisni;141;23
151;2016-09-20 16:00:00.000000;false;80;NULL;pisni;141;23
152;2016-01-18 10:00:00.000000;false;70;NULL;pisni;249;40
153;2016-02-01 10:00:00.000000;false;60;NULL;pisni;249;40
154;2016-08-23 10:00:00.000000;false;60;NULL;pisni;249;40
155;2016-01-26 14:00:00.000000;false;60;NULL;pisni;124;33
156;2016-02-15 15:00:00.000000;false;60;NULL;pisni;124;33
157;2016-09-01 16:00:00.000000;false;90;NULL;pisni;124;33
158;2016-01-25 14:00:00.000000;false;60;NULL;pisni;143;59
159;2016-02-11 16:00:00.000000;false;60;NULL;pisni;143;59
160;2016-09-07 15:00:00.000000;false;60;NULL;pisni;143;59
161;2016-06-23 10:00:00.000000;false;90;NULL;pisni;113;30
162;2016-07-05 14:00:00.000000;false;90;NULL;pisni;113;30
163;2016-09-15 15:00:00.000000;false;90;NULL;pisni;113;30
164;2016-06-21 17:00:00.000000;false;60;NULL;pisni;103;3
165;2016-07-04 10:00:00.000000;false;60;NULL;pisni;103;3
166;2016-09-16 09:00:00.000000;false;60;NULL;pisni;103;3
167;2016-06-17 10:00:00.000000;false;45;NULL;pisni;118;55
168;2016-07-01 10:00:00.000000;false;60;NULL;pisni;118;55
169;2016-09-05 09:00:00.000000;false;60;NULL;pisni;118;55
170;2016-06-13 08:00:00.000000;false;60;NULL;pisni;137;35
171;2016-06-29 12:00:00.000000;false;60;NULL;pisni;137;35
172;2016-09-14 14:00:00.000000;false;60;NULL;pisni;137;35
173;2016-06-15 10:00:00.000000;false;90;NULL;pisni;130;43
174;2016-06-30 10:00:00.000000;false;90;NULL;pisni;130;43
175;2016-09-01 10:00:00.000000;false;90;NULL;pisni;130;43
176;2017-01-20 12:00:00.000000;false;60;NULL;pisni;63;20
177;2017-02-03 10:00:00.000000;false;60;NULL;pisni;63;20
178;2017-09-01 11:00:00.000000;false;60;NULL;pisni;63;20
179;2017-01-23 14:00:00.000000;false;70;NULL;pisni;92;23
180;2017-02-02 14:00:00.000000;false;70;NULL;pisni;92;23
181;2017-09-05 14:00:00.000000;false;70;NULL;pisni;92;23
182;2017-01-26 08:00:00.000000;false;60;NULL;pisni;248;40
183;2017-02-03 09:00:00.000000;false;60;NULL;pisni;248;40
184;2017-08-24 09:00:00.000000;false;60;NULL;pisni;248;40
185;2017-01-23 14:00:00.000000;false;90;NULL;pisni;75;33
186;2017-02-10 13:00:00.000000;false;90;NULL;pisni;75;33
187;2017-09-07 13:00:00.000000;false;90;NULL;pisni;75;33
188;2017-01-27 17:00:00.000000;false;60;NULL;pisni;94;59
189;2017-02-09 16:00:00.000000;false;60;NULL;pisni;94;59
190;2017-09-06 16:00:00.000000;false;60;NULL;pisni;94;59
191;2017-06-15 08:00:00.000000;false;80;NULL;pisni;64;30
192;2017-06-29 10:00:00.000000;false;80;NULL;pisni;64;30
193;2017-09-01 11:00:00.000000;false;80;NULL;pisni;64;30
194;2017-06-20 13:00:00.000000;false;60;NULL;pisni;54;3
195;2017-07-03 11:00:00.000000;false;60;NULL;pisni;54;3
196;2017-09-04 11:00:00.000000;false;60;NULL;pisni;54;3
197;2017-06-21 14:00:00.000000;false;45;NULL;pisni;69;55
198;2017-06-30 14:00:00.000000;false;45;NULL;pisni;69;55
199;2017-09-15 13:00:00.000000;false;45;NULL;pisni;69;55
200;2017-06-22 10:00:00.000000;false;70;NULL;pisni;88;35
201;2017-07-05 11:00:00.000000;false;70;NULL;pisni;88;35
202;2017-09-08 12:00:00.000000;false;70;NULL;pisni;88;35
203;2017-06-16 10:00:00.000000;false;90;NULL;pisni;81;43
204;2017-06-29 10:00:00.000000;false;90;NULL;pisni;81;43
205;2017-08-25 10:00:00.000000;false;90;NULL;pisni;81;43
206;2017-01-23 16:00:00.000000;false;90;NULL;pisni;93;1
207;2017-02-13 15:00:00.000000;false;90;NULL;pisni;93;1
208;2017-09-01 15:00:00.000000;false;120;NULL;pisni;93;1
209;2017-01-25 10:00:00.000000;false;70;NULL;pisni;57;2
210;2017-02-06 10:00:00.000000;false;70;NULL;pisni;57;2
211;2017-09-04 10:00:00.000000;false;70;NULL;pisni;57;2
212;2017-06-15 14:00:00.000000;false;45;NULL;pisni;253;26
213;2017-07-03 14:00:00.000000;false;45;NULL;pisni;253;26
214;2017-08-28 14:00:00.000000;false;45;NULL;pisni;253;26
215;2017-01-20 12:00:00.000000;false;50;NULL;pisni;99;34
216;2017-02-03 14:00:00.000000;false;50;NULL;pisni;99;34
217;2017-09-11 12:00:00.000000;false;50;NULL;pisni;99;34
218;2017-06-16 12:00:00.000000;false;45;NULL;pisni;73;26
219;2017-06-30 13:00:00.000000;false;45;NULL;pisni;73;26
220;2017-09-07 13:00:00.000000;false;45;NULL;pisni;73;26
221;2017-01-16 17:00:00.000000;false;60;NULL;pisni;58;26
222;2017-01-30 16:00:00.000000;false;60;NULL;pisni;58;26
223;2017-09-05 17:00:00.000000;false;60;NULL;pisni;58;26
224;2017-06-16 10:00:00.000000;false;45;NULL;pisni;84;48
225;2017-07-07 12:00:00.000000;false;45;NULL;pisni;84;48
226;2017-08-25 10:00:00.000000;false;45;NULL;pisni;84;48
227;2017-01-19 12:00:00.000000;false;45;NULL;pisni;74;38
228;2017-01-30 12:00:00.000000;false;45;NULL;pisni;74;38
229;2017-09-07 12:00:00.000000;false;45;NULL;pisni;74;38
230;2017-06-20 16:00:00.000000;false;60;NULL;pisni;6;8
231;2017-07-11 16:00:00.000000;false;60;NULL;pisni;6;8
232;2017-09-04 16:15:00.000000;false;60;NULL;pisni;6;8
233;2017-06-20 10:00:00.000000;false;90;NULL;pisni;98;23
234;2017-07-13 10:00:00.000000;false;90;NULL;pisni;98;23
235;2017-08-29 11:00:00.000000;false;90;NULL;pisni;98;23
236;2017-01-23 12:00:00.000000;false;90;NULL;pisni;97;35
237;2017-02-06 10:00:00.000000;false;90;NULL;pisni;97;35
238;2017-09-01 10:00:00.000000;false;90;NULL;pisni;97;35
239;2017-06-15 12:00:00.000000;false;45;NULL;pisni;95;53
240;2017-07-03 11:00:00.000000;false;60;NULL;pisni;95;53
241;2017-09-04 12:00:00.000000;false;60;NULL;pisni;95;53
242;2017-06-16 14:00:00.000000;false;5;NULL;ustni;65;29
243;2017-07-05 13:00:00.000000;false;5;NULL;ustni;65;29
244;2017-09-01 11:00:00.000000;false;5;NULL;ustni;65;29
245;2017-01-26 08:00:00.000000;false;90;NULL;pisni;52;2
246;2017-02-09 08:00:00.000000;false;90;NULL;pisni;52;2
247;2017-09-05 10:00:00.000000;false;90;NULL;pisni;52;2
248;2017-01-26 16:00:00.000000;false;90;NULL;pisni;67;18
249;2017-02-10 14:00:00.000000;false;90;NULL;pisni;67;18
250;2017-09-04 14:00:00.000000;false;90;NULL;pisni;67;18
251;2017-01-23 10:00:00.000000;false;45;NULL;pisni;55;4
252;2017-02-07 08:00:00.000000;false;40;NULL;pisni;55;4
253;2017-09-04 10:00:00.000000;false;40;NULL;pisni;55;4
254;2017-06-19 14:00:00.000000;false;45;NULL;pisni;76;20
255;2017-07-06 14:00:00.000000;false;60;NULL;pisni;76;20
256;2017-09-01 11:00:00.000000;false;60;NULL;pisni;76;20
257;2017-01-27 14:00:00.000000;false;60;NULL;pisni;51;5
258;2017-02-14 14:00:00.000000;false;60;NULL;pisni;51;5
259;2017-09-13 14:00:00.000000;false;60;NULL;pisni;51;5
260;2017-01-26 12:00:00.000000;false;90;NULL;pisni;258;43
261;2017-02-09 12:00:00.000000;false;90;NULL;pisni;257;43
262;2017-09-04 11:00:00.000000;false;90;NULL;pisni;258;43
263;2017-09-30 10:00:00.000000;false;10;Splošni rok za diplomski seminar 2017;pisni;96;31
