exam_sign_up
id;confirmed;returned;suggested_grade;written_score;id_course_exam_term;id_student_course
83;true;false;8;70;173;147
84;true;false;5;7;209;150
85;true;false;5;48;210;150
86;true;false;5;7;211;150
87;true;false;5;24;212;151
88;true;false;5;6;213;151
89;true;false;5;28;214;151
90;true;false;9;84;216;152
91;true;false;5;30;206;149
92;true;false;5;41;207;149
93;true;false;5;5;208;149
94;true;false;5;3;221;154
95;true;false;5;5;222;154
97;true;false;10;97;224;155
98;true;false;8;72;219;153
99;true;false;8;73;227;156
100;true;false;6;52;234;158
101;true;false;6;54;230;157
102;true;true;7;NULL;165;95
103;true;false;8;74;177;105
104;true;false;7;67;167;83
105;true;false;8;79;156;86
106;true;false;7;64;161;90
107;true;false;8;75;183;94
108;true;false;7;60;198;99
109;true;false;8;77;182;101
110;true;false;7;67;179;108
111;true;false;8;78;271;111
112;true;true;NULL;NULL;119;175
113;true;false;8;74;120;175
114;true;true;NULL;NULL;143;176
115;true;false;10;90;144;176
116;true;false;9;87;122;177
117;true;false;5;41;116;174
118;true;false;8;77;118;174
119;true;false;9;81;128;179
120;true;false;10;93;132;180
121;true;false;10;95;130;178
122;true;false;9;88;135;181
123;true;false;9;85;140;183
124;true;false;9;80;138;182
125;true;true;NULL;NULL;236;184
126;true;false;6;53;237;184
127;true;false;8;70;263;185
128;true;false;6;51;239;186
129;true;false;6;59;242;187
130;true;false;8;74;245;188
131;true;false;6;57;246;188
132;true;false;6;55;248;189
133;true;false;7;60;260;190
134;true;false;7;65;251;191
135;true;false;7;61;255;192
136;true;false;8;79;257;193
137;true;false;7;62;95;248
138;true;false;8;76;104;247
139;true;false;7;62;83;253
140;true;false;6;57;88;256
141;true;false;8;70;90;249
142;true;false;7;63;93;250
143;true;false;6;53;98;254
144;true;false;8;79;101;252
145;true;false;7;69;108;251
146;true;false;6;54;110;255
147;true;true;NULL;NULL;119;258
148;true;false;5;45;120;258
149;true;true;NULL;NULL;143;259
150;true;false;5;46;144;259
151;true;false;9;87;122;260
152;true;false;5;7;116;257
153;true;false;5;2;117;257
154;true;false;5;13;118;257
155;true;false;5;38;128;262
156;true;false;10;91;132;263
157;true;false;10;98;130;261
158;true;false;9;89;135;264
159;true;false;9;89;140;266
160;true;false;9;82;138;265
161;true;false;6;51;209;268
162;true;false;7;69;213;269
163;true;false;5;18;206;270
164;true;false;5;48;207;270
165;true;false;5;44;208;270
166;true;false;6;54;222;267
167;true;false;7;66;237;271
168;true;false;5;30;55;129
169;true;false;5;29;56;129
170;true;false;5;11;57;129
171;true;false;10;96;267;130
172;true;false;5;44;4;77
173;true;false;5;20;28;73
174;true;false;5;32;29;73
175;true;false;NULL;NULL;275;75
176;true;false;6;55;170;274
177;true;false;5;41;164;275
178;true;false;5;6;165;275
179;true;false;6;59;166;275
180;true;false;5;22;167;276
181;true;false;8;70;168;276
182;true;false;9;86;155;277
183;true;false;6;51;146;278
184;true;false;6;56;173;279
185;true;false;6;51;158;280
186;true;false;5;11;161;281
187;true;false;8;70;162;281
188;true;false;5;9;152;282
189;true;false;5;20;153;282
190;true;false;7;61;154;282
191;true;false;5;4;149;283
192;true;false;5;8;150;283
193;true;false;8;79;151;283
194;true;false;5;20;218;284
195;true;false;8;79;219;284
196;true;false;9;87;224;285
197;true;false;5;13;212;286
198;true;false;5;10;213;286
199;true;false;7;65;214;286
200;true;false;5;32;215;287
201;true;false;5;35;216;287
202;true;false;9;88;217;287
203;true;false;5;4;227;288
204;true;false;7;67;228;288
205;true;false;7;68;221;289
206;true;false;6;50;277;290
207;true;false;5;6;206;291
208;true;false;6;56;207;291
209;true;false;5;16;209;292
210;true;false;5;6;210;292
211;true;false;7;69;211;292
212;true;false;5;4;230;293
213;true;false;5;25;231;293
214;true;false;7;60;232;293
215;true;false;5;28;173;304
216;true;false;6;51;174;304
217;true;false;5;1;146;305
218;true;false;6;55;147;305
219;true;false;5;48;167;306
220;true;false;8;72;168;306
221;true;false;5;3;161;307
222;true;false;9;85;162;307
223;true;false;5;8;149;308
224;true;false;5;13;150;308
225;true;false;7;60;151;308
226;true;false;5;47;152;309
227;true;false;6;59;153;309
228;true;false;5;35;155;310
229;true;false;7;65;156;310
230;true;false;5;6;164;311
231;true;false;5;34;165;311
232;true;false;6;59;166;311
233;true;false;5;42;158;312
234;true;false;5;27;159;312
235;true;false;7;60;160;312
236;true;false;5;0;170;313
237;true;false;5;12;171;313
238;true;false;9;89;172;313
239;true;false;5;36;212;314
240;true;false;5;7;213;314
241;true;false;6;56;214;314
242;true;false;5;24;233;315
243;true;false;5;2;234;315
244;true;false;9;89;235;315
245;true;false;5;45;206;316
246;true;false;5;7;207;316
247;true;false;8;78;208;316
248;true;false;5;40;224;317
249;true;false;8;79;225;317
250;true;false;5;4;209;318
251;true;false;5;39;210;318
252;true;false;9;89;211;318
253;true;false;5;9;221;319
254;true;false;5;5;222;319
255;true;false;7;60;223;319
256;true;false;5;27;218;320
257;true;false;8;71;219;320
258;true;false;5;1;230;321
259;true;false;8;73;231;321
260;true;false;6;56;215;322
261;true;false;5;34;227;323
262;true;false;5;10;228;323
263;true;false;8;70;229;323
264;true;false;7;68;161;334
265;true;false;5;6;155;335
266;true;false;7;66;156;335
267;true;false;5;47;146;336
268;true;false;5;25;147;336
269;true;false;9;82;148;336
270;true;false;8;74;158;337
271;true;false;5;15;170;338
272;true;false;9;84;171;338
273;true;false;8;72;167;339
274;true;false;8;74;164;340
275;true;false;5;35;152;341
276;true;false;6;55;153;341
277;true;false;5;31;149;342
278;true;false;6;50;150;342
279;true;false;5;19;173;343
280;true;false;5;17;174;343
281;true;false;6;50;175;343
282;true;false;5;31;209;344
283;true;false;5;23;210;344
284;true;false;6;54;211;344
285;true;false;7;62;221;345
286;true;false;5;9;227;346
287;true;false;5;3;228;346
288;true;false;9;81;229;346
289;true;false;5;41;206;347
290;true;false;7;63;207;347
291;true;false;7;64;230;348
292;true;false;5;20;212;349
293;true;false;5;17;213;349
294;true;false;6;57;214;349
295;true;false;5;35;224;350
296;true;false;5;16;225;350
297;true;false;9;82;226;350
298;true;false;5;41;218;351
299;true;false;5;42;219;351
300;true;false;6;59;220;351
301;true;false;5;43;215;352
302;true;false;5;16;216;352
303;true;false;7;62;217;352
304;true;false;5;13;233;353
305;true;false;5;29;234;353
306;true;false;7;64;235;353
307;true;false;5;9;167;364
308;true;false;7;65;168;364
309;true;false;5;25;149;365
310;true;false;5;23;150;365
311;true;false;7;61;151;365
312;true;false;8;71;161;366
313;true;false;8;75;146;367
314;true;false;7;64;152;368
315;true;false;5;40;170;369
316;true;false;7;65;171;369
317;true;false;7;68;158;370
318;true;false;7;61;164;371
319;true;false;6;50;173;372
320;true;false;5;26;155;373
321;true;false;9;86;156;373
322;true;false;5;35;209;374
323;true;false;5;26;210;374
324;true;false;9;87;211;374
325;true;false;5;15;206;375
326;true;false;5;43;207;375
327;true;false;6;50;208;375
328;true;false;5;16;218;376
329;true;false;5;10;219;376
330;true;false;9;88;220;376
331;true;false;5;2;215;377
332;true;false;8;74;216;377
333;true;false;5;46;230;378
334;true;false;5;6;231;378
335;true;false;6;59;232;378
336;true;false;5;0;221;379
337;true;false;7;67;222;379
338;true;false;7;62;233;380
339;true;false;7;60;224;381
340;true;false;6;53;227;382
341;true;false;5;20;212;383
342;true;false;9;82;213;383
343;true;false;6;53;152;394
344;true;false;5;32;164;395
345;true;false;5;5;165;395
346;true;false;6;54;166;395
347;true;false;5;10;167;396
348;true;false;9;82;168;396
349;true;false;8;74;170;397
350;true;false;9;80;158;398
351;true;false;6;52;161;399
352;true;false;5;17;149;400
353;true;false;7;61;150;400
354;true;false;9;83;155;401
355;true;false;8;75;173;402
356;true;false;7;65;146;403
357;true;false;5;46;224;404
358;true;false;7;63;225;404
359;true;false;5;1;218;405
360;true;false;5;20;219;405
361;true;false;8;76;220;405
362;true;false;5;33;209;406
363;true;false;5;20;210;406
364;true;false;7;60;211;406
365;true;false;5;29;221;407
366;true;false;8;75;222;407
367;true;false;9;86;212;408
368;true;false;6;50;277;409
369;true;false;5;8;215;410
370;true;false;8;70;216;410
371;true;false;7;65;233;411
372;true;false;5;8;227;412
373;true;false;7;60;228;412
374;true;false;5;6;206;413
375;true;false;5;34;207;413
376;true;false;6;52;208;413
377;true;false;9;86;164;424
378;true;false;7;68;149;425
379;true;false;9;85;173;426
380;true;false;5;34;146;427
381;true;false;5;33;147;427
382;true;false;6;58;148;427
383;true;false;6;58;167;428
384;true;false;5;19;155;429
385;true;false;8;74;156;429
386;true;false;8;77;170;430
387;true;false;5;45;161;431
388;true;false;6;55;162;431
389;true;false;5;24;152;432
390;true;false;6;51;153;432
391;true;false;5;9;158;433
392;true;false;5;16;159;433
393;true;false;8;76;160;433
394;true;false;5;3;221;434
395;true;false;5;8;222;434
396;true;false;9;89;223;434
397;true;false;9;88;227;435
398;true;false;8;71;206;436
399;true;false;6;55;212;437
400;true;false;9;85;218;438
401;true;false;5;47;230;439
402;true;false;8;78;231;439
403;true;false;5;40;224;440
404;true;false;5;31;225;440
405;true;false;6;58;226;440
406;true;false;5;26;215;441
407;true;false;9;84;216;441
408;true;false;5;46;209;442
409;true;false;5;6;210;442
410;true;false;8;74;211;442
411;true;false;5;24;233;443
412;true;false;5;11;234;443
413;true;false;8;71;235;443
414;true;false;5;36;152;454
415;true;false;8;76;153;454
416;true;false;5;48;173;455
417;true;false;6;52;174;455
418;true;false;9;83;170;456
419;true;false;6;53;164;457
420;true;false;5;24;149;458
421;true;false;9;86;150;458
422;true;false;5;10;158;459
423;true;false;9;82;159;459
424;true;false;7;65;167;460
425;true;false;5;36;161;461
426;true;false;5;19;162;461
427;true;false;8;76;163;461
428;true;false;5;14;155;462
429;true;false;5;34;156;462
430;true;false;7;62;157;462
431;true;false;5;31;146;463
432;true;false;5;3;147;463
433;true;false;6;50;148;463
434;true;false;5;45;212;464
435;true;false;8;79;213;464
436;true;false;8;70;206;465
437;true;false;5;14;233;466
438;true;false;5;8;234;466
439;true;false;8;73;235;466
440;true;false;5;41;215;467
441;true;false;9;87;216;467
442;true;false;5;45;218;468
443;true;false;7;60;219;468
444;true;false;5;45;227;469
445;true;false;5;32;228;469
446;true;false;9;85;229;469
447;true;false;8;79;221;470
448;true;false;8;73;224;471
449;true;false;5;4;209;472
450;true;false;5;6;210;472
451;true;false;7;65;211;472
452;true;false;5;48;230;473
453;true;false;5;29;231;473
454;true;false;9;80;232;473
455;true;false;5;32;164;484
456;true;false;5;1;165;484
457;true;false;8;74;166;484
458;true;false;5;33;149;485
459;true;false;5;14;150;485
460;true;false;9;84;151;485
461;true;false;7;62;161;486
462;true;false;7;63;173;487
463;true;false;5;45;167;488
464;true;false;5;46;168;488
465;true;false;8;78;169;488
466;true;false;5;44;146;489
467;true;false;9;86;147;489
468;true;false;8;72;170;490
469;true;false;5;21;155;491
470;true;false;5;13;156;491
471;true;false;6;52;157;491
472;true;false;8;74;158;492
473;true;false;6;52;152;493
474;true;false;5;37;209;494
475;true;false;5;3;210;494
476;true;false;6;58;211;494
477;true;false;7;63;212;495
478;true;false;5;38;230;496
479;true;false;5;24;231;496
480;true;false;7;66;232;496
481;true;false;6;53;221;497
482;true;false;5;39;218;498
483;true;false;5;19;219;498
484;true;false;7;61;220;498
485;true;false;5;45;227;499
486;true;false;5;2;228;499
487;true;false;9;87;229;499
488;true;false;5;26;215;500
489;true;false;6;53;216;500
490;true;false;8;78;277;501
491;true;false;5;14;224;502
492;true;false;5;43;225;502
493;true;false;7;62;226;502
494;true;false;5;5;206;503
495;true;false;5;27;207;503
496;true;false;9;87;208;503
497;true;false;5;2;173;514
498;true;false;5;24;174;514
499;true;false;8;70;175;514
500;true;false;5;35;158;515
501;true;false;5;28;159;515
502;true;false;6;55;160;515
503;true;false;6;51;161;516
504;true;false;5;23;155;517
505;true;false;5;42;156;517
506;true;false;6;56;157;517
507;true;false;8;75;149;518
508;true;false;8;74;167;519
509;true;false;5;23;164;520
510;true;false;5;28;165;520
511;true;false;7;62;166;520
512;true;false;8;75;152;521
513;true;false;5;19;170;522
514;true;false;5;43;171;522
515;true;false;8;79;172;522
516;true;false;5;11;146;523
517;true;false;9;81;147;523
518;true;false;5;46;221;524
519;true;false;5;40;222;524
520;true;false;7;67;223;524
521;true;false;6;54;212;525
522;true;false;5;14;224;526
523;true;false;5;48;225;526
524;true;false;8;78;226;526
525;true;false;5;26;227;527
526;true;false;5;32;228;527
527;true;false;8;72;229;527
528;true;false;5;28;215;528
529;true;false;7;69;216;528
530;true;false;7;64;218;529
531;true;false;5;7;209;530
532;true;false;5;48;210;530
533;true;false;9;83;211;530
534;true;false;7;60;277;531
535;true;false;9;86;230;532
536;true;false;5;35;206;533
537;true;false;9;89;207;533
538;true;false;5;18;173;544
539;true;false;5;39;174;544
540;true;false;9;80;175;544
541;true;false;5;47;146;545
542;true;false;8;70;147;545
543;true;false;9;86;152;546
544;true;false;5;4;155;547
545;true;false;5;2;156;547
546;true;false;9;82;157;547
547;true;false;5;17;167;548
548;true;false;5;27;168;548
549;true;false;6;53;169;548
550;true;false;7;62;158;549
551;true;false;7;65;164;550
552;true;false;9;89;161;551
553;true;false;5;20;149;552
554;true;false;8;76;150;552
555;true;false;9;87;170;553
556;true;false;5;2;233;554
557;true;false;5;12;234;554
558;true;false;8;70;235;554
559;true;false;8;72;206;555
560;true;false;8;75;221;556
561;true;false;7;65;277;557
562;true;false;8;73;227;558
563;true;false;9;83;215;559
564;true;false;6;59;212;560
565;true;false;5;1;209;561
566;true;false;8;75;210;561
567;true;false;5;27;218;562
568;true;false;5;18;219;562
569;true;false;9;81;220;562
570;true;false;5;26;224;563
571;true;false;5;28;225;563
572;true;false;9;80;226;563
573;true;false;5;36;170;574
574;true;false;8;77;171;574
575;true;false;5;39;173;575
576;true;false;6;57;174;575
577;true;false;5;2;161;576
578;true;false;6;56;162;576
579;true;false;5;21;149;577
580;true;false;5;33;150;577
581;true;false;8;70;151;577
582;true;false;5;19;167;578
583;true;false;5;37;168;578
584;true;false;7;67;169;578
585;true;false;5;41;158;579
586;true;false;5;3;159;579
587;true;false;9;82;160;579
588;true;false;8;78;164;580
589;true;false;5;39;155;581
590;true;false;8;77;156;581
591;true;false;5;8;146;582
592;true;false;5;13;147;582
593;true;false;8;71;148;582
594;true;false;9;83;152;583
595;true;false;8;72;212;584
596;true;false;5;1;221;585
597;true;false;5;38;222;585
598;true;false;8;79;223;585
599;true;false;6;55;227;586
600;true;false;8;74;218;587
601;true;false;7;61;215;588
602;true;false;5;45;230;589
603;true;false;7;63;231;589
604;true;false;5;20;206;590
605;true;false;7;68;207;590
606;true;false;7;69;209;591
607;true;false;5;20;233;592
608;true;false;5;15;234;592
609;true;false;8;79;235;592
610;true;false;9;82;224;593
611;true;false;6;58;161;604
612;true;false;5;43;173;605
613;true;false;7;61;174;605
614;true;false;8;74;146;606
615;true;false;8;75;155;607
616;true;false;5;22;149;608
617;true;false;6;59;150;608
618;true;false;7;69;152;609
619;true;false;5;32;158;610
620;true;false;6;50;159;610
621;true;false;8;76;170;611
622;true;false;5;48;167;612
623;true;false;5;26;168;612
624;true;false;7;69;169;612
625;true;false;5;18;164;613
626;true;false;5;25;165;613
627;true;false;7;61;166;613
628;true;false;5;37;212;614
629;true;false;9;86;213;614
630;true;false;5;8;206;615
631;true;false;9;84;207;615
632;true;false;5;20;227;616
633;true;false;6;59;228;616
634;true;false;6;55;277;617
635;true;false;5;44;215;618
636;true;false;7;68;216;618
637;true;false;5;7;221;619
638;true;false;7;69;222;619
639;true;false;5;17;224;620
640;true;false;5;10;225;620
641;true;false;6;55;226;620
642;true;false;5;5;209;621
643;true;false;6;52;210;621
644;true;false;5;39;233;622
645;true;false;5;23;234;622
646;true;false;8;70;235;622
647;true;false;9;80;218;623
648;true;false;5;6;155;634
649;true;false;6;50;156;634
650;true;false;7;62;170;635
651;true;false;8;71;167;636
652;true;false;5;5;164;637
653;true;false;7;63;165;637
654;true;false;8;73;158;638
655;true;false;9;89;152;639
656;true;false;5;14;146;640
657;true;false;9;81;147;640
658;true;false;6;58;173;641
659;true;false;5;5;161;642
660;true;false;6;55;162;642
661;true;false;5;32;149;643
662;true;false;5;0;150;643
663;true;false;8;73;151;643
664;true;false;5;19;224;644
665;true;false;9;86;225;644
666;true;false;9;87;209;645
667;true;false;5;38;227;646
668;true;false;5;40;228;646
669;true;false;6;50;229;646
670;true;false;5;4;218;647
671;true;false;9;81;219;647
672;true;false;5;20;215;648
673;true;false;5;2;216;648
674;true;false;8;72;217;648
675;true;false;6;51;221;649
676;true;false;5;19;206;650
677;true;false;5;31;207;650
678;true;false;6;56;208;650
679;true;false;7;65;233;651
680;true;false;5;16;212;652
681;true;false;5;37;213;652
682;true;false;8;74;214;652
683;true;false;9;82;277;653
684;true;false;9;81;170;664
685;true;false;6;54;155;665
686;true;false;5;41;146;666
687;true;false;6;50;147;666
688;true;false;5;7;167;667
689;true;false;5;8;168;667
690;true;false;8;72;169;667
691;true;false;5;9;152;668
692;true;false;5;47;153;668
693;true;false;7;66;154;668
694;true;false;5;25;164;669
695;true;false;7;65;165;669
696;true;false;5;4;158;670
697;true;false;6;54;159;670
698;true;false;5;45;161;671
699;true;false;5;34;162;671
700;true;false;9;86;163;671
701;true;false;5;29;149;672
702;true;false;5;3;150;672
703;true;false;8;70;151;672
704;true;false;6;50;173;673
705;true;false;5;23;206;674
706;true;false;7;61;207;674
707;true;false;5;48;227;675
708;true;false;5;4;228;675
709;true;false;9;84;229;675
710;true;false;5;19;224;676
711;true;false;6;54;225;676
712;true;false;9;88;209;677
713;true;false;8;72;212;678
714;true;false;6;53;277;679
715;true;false;5;17;215;680
716;true;false;7;63;216;680
717;true;false;5;35;230;681
718;true;false;6;52;231;681
719;true;false;6;56;218;682
720;true;false;5;6;221;683
721;true;false;7;62;222;683
722;true;false;5;0;161;694
723;true;false;5;24;162;694
724;true;false;9;86;163;694
725;true;false;5;12;152;695
726;true;false;9;85;153;695
727;true;false;5;39;170;696
728;true;false;9;84;171;696
729;true;false;9;89;149;697
730;true;false;5;31;155;698
731;true;false;5;14;156;698
732;true;false;9;86;157;698
733;true;false;5;41;167;699
734;true;false;6;56;168;699
735;true;false;7;69;146;700
736;true;false;5;21;173;701
737;true;false;5;11;174;701
738;true;false;9;86;175;701
739;true;false;7;63;164;702
740;true;false;5;13;158;703
741;true;false;8;72;159;703
742;true;false;5;34;230;704
743;true;false;5;36;231;704
744;true;false;8;79;232;704
745;true;false;5;48;209;705
746;true;false;5;42;210;705
747;true;false;8;75;211;705
748;true;false;5;7;212;706
749;true;false;6;53;213;706
750;true;false;7;62;277;707
751;true;false;5;41;221;708
752;true;false;5;9;222;708
753;true;false;8;74;223;708
754;true;false;5;10;224;709
755;true;false;5;18;225;709
756;true;false;9;84;226;709
757;true;false;5;16;206;710
758;true;false;5;12;207;710
759;true;false;9;81;208;710
760;true;false;5;13;218;711
761;true;false;5;27;219;711
762;true;false;9;80;220;711
763;true;false;5;4;227;712
764;true;false;8;73;228;712
765;true;false;5;18;215;713
766;true;false;5;46;216;713
767;true;false;8;70;217;713
768;true;false;9;86;158;724
769;true;false;9;84;152;725
770;true;false;5;23;164;726
771;true;false;9;80;165;726
772;true;false;9;89;161;727
773;true;false;5;28;170;728
774;true;false;5;2;171;728
775;true;false;9;81;172;728
776;true;false;5;27;146;729
777;true;false;9;80;147;729
778;true;false;5;41;155;730
779;true;false;5;39;156;730
780;true;false;9;88;157;730
781;true;false;5;45;167;731
782;true;false;5;16;168;731
783;true;false;9;83;169;731
784;true;false;5;19;173;732
785;true;false;5;46;174;732
786;true;false;9;88;175;732
787;true;false;5;41;149;733
788;true;false;9;84;150;733
789;true;false;5;5;233;734
790;true;false;5;26;234;734
791;true;false;9;85;235;734
792;true;false;9;83;212;735
793;true;false;5;16;227;736
794;true;false;9;88;228;736
795;true;false;9;87;209;737
796;true;false;9;83;221;738
797;true;false;5;4;215;739
798;true;false;5;30;216;739
799;true;false;9;83;217;739
800;true;false;5;18;230;740
801;true;false;5;45;231;740
802;true;false;9;83;232;740
803;true;false;5;31;218;741
804;true;false;5;28;219;741
805;true;false;9;82;220;741
806;true;false;5;2;206;742
807;true;false;9;84;207;742
808;true;false;5;43;224;743
809;true;false;9;87;225;743
810;true;false;5;31;149;754
811;true;false;5;20;150;754
812;true;false;6;59;151;754
813;true;false;7;61;173;755
814;true;false;7;67;155;756
815;true;false;8;79;158;757
816;true;false;5;30;161;758
817;true;false;5;32;162;758
818;true;false;8;76;163;758
819;true;false;8;72;164;759
820;true;false;5;44;152;760
821;true;false;5;21;153;760
822;true;false;6;59;154;760
823;true;false;6;50;170;761
824;true;false;5;13;146;762
825;true;false;6;57;147;762
826;true;false;5;30;167;763
827;true;false;9;86;168;763
828;true;false;5;0;218;764
829;true;false;7;63;219;764
830;true;false;5;23;227;765
831;true;false;9;83;228;765
832;true;false;5;39;221;766
833;true;false;8;76;222;766
834;true;false;5;1;224;767
835;true;false;5;28;225;767
836;true;false;9;85;226;767
837;true;false;7;65;233;768
838;true;false;8;71;230;769
839;true;false;5;12;209;770
840;true;false;8;73;210;770
841;true;false;7;62;212;771
842;true;false;7;63;215;772
843;true;false;5;26;206;773
844;true;false;7;67;207;773
845;true;false;5;23;164;784
846;true;false;5;33;165;784
847;true;false;6;54;166;784
848;true;false;7;68;152;785
849;true;false;9;85;158;786
850;true;false;8;78;161;787
851;true;false;5;11;149;788
852;true;false;5;36;150;788
853;true;false;6;52;151;788
854;true;false;5;15;167;789
855;true;false;5;46;168;789
856;true;false;7;65;169;789
857;true;false;5;28;170;790
858;true;false;5;36;171;790
859;true;false;7;65;172;790
860;true;false;9;86;155;791
861;true;false;5;8;146;792
862;true;false;5;15;147;792
863;true;false;7;67;148;792
864;true;false;5;47;173;793
865;true;false;8;75;174;793
866;true;false;9;80;218;794
867;true;false;5;33;215;795
868;true;false;5;6;216;795
869;true;false;9;85;217;795
870;true;false;9;87;277;796
871;true;false;5;39;224;797
872;true;false;5;32;225;797
873;true;false;6;58;226;797
874;true;false;9;89;206;798
875;true;false;8;78;230;799
876;true;false;6;58;209;800
877;true;false;5;34;212;801
878;true;false;9;85;213;801
879;true;false;5;0;227;802
880;true;false;8;75;228;802
881;true;false;9;86;221;803
882;true;false;5;15;146;814
883;true;false;5;41;147;814
884;true;false;9;87;148;814
885;true;false;9;82;161;815
886;true;false;5;25;164;816
887;true;false;5;31;165;816
888;true;false;6;56;166;816
889;true;false;7;61;170;817
890;true;false;5;4;155;818
891;true;false;5;20;156;818
892;true;false;9;89;157;818
893;true;false;8;79;167;819
894;true;false;8;70;149;820
895;true;false;5;6;152;821
896;true;false;8;74;153;821
897;true;false;9;84;158;822
898;true;false;5;11;173;823
899;true;false;7;60;174;823
900;true;false;9;87;227;824
901;true;false;5;3;224;825
902;true;false;5;33;225;825
903;true;false;6;55;226;825
904;true;false;6;59;277;826
905;true;false;6;51;230;827
906;true;false;6;51;218;828
907;true;false;7;62;209;829
908;true;false;5;27;215;830
909;true;false;5;32;216;830
910;true;false;8;78;217;830
911;true;false;9;80;221;831
912;true;false;8;72;212;832
913;true;false;5;0;206;833
914;true;false;9;86;207;833
915;true;false;5;48;146;844
916;true;false;5;2;147;844
917;true;false;7;62;148;844
918;true;false;5;27;152;845
919;true;false;7;63;153;845
920;true;false;7;63;167;846
921;true;false;8;75;164;847
922;true;false;5;13;173;848
923;true;false;9;89;174;848
924;true;false;5;21;149;849
925;true;false;8;72;150;849
926;true;false;5;38;170;850
927;true;false;7;63;171;850
928;true;false;5;36;155;851
929;true;false;9;84;156;851
930;true;false;5;40;161;852
931;true;false;6;52;162;852
932;true;false;5;22;158;853
933;true;false;8;76;159;853
934;true;false;5;44;227;854
935;true;false;5;6;228;854
936;true;false;9;88;229;854
937;true;false;7;64;218;855
938;true;false;5;27;212;856
939;true;false;5;11;213;856
940;true;false;9;87;214;856
941;true;false;8;73;215;857
942;true;false;5;16;221;858
943;true;false;9;82;222;858
944;true;false;7;65;230;859
945;true;false;6;53;277;860
946;true;false;6;53;224;861
947;true;false;5;8;209;862
948;true;false;6;52;210;862
949;true;false;5;43;206;863
950;true;false;7;66;207;863
951;true;false;5;0;155;874
952;true;false;5;0;156;874
953;true;false;7;66;157;874
954;true;false;8;71;173;875
955;true;false;8;70;149;876
956;true;false;9;84;158;877
957;true;false;9;86;161;878
958;true;false;8;78;167;879
959;true;false;5;36;164;880
960;true;false;5;39;165;880
961;true;false;8;71;166;880
962;true;false;8;75;152;881
963;true;false;5;1;170;882
964;true;false;5;13;171;882
965;true;false;9;81;172;882
966;true;false;5;9;146;883
967;true;false;5;28;147;883
968;true;false;9;85;148;883
969;true;false;5;40;218;884
970;true;false;7;64;219;884
971;true;false;5;35;224;885
972;true;false;8;75;225;885
973;true;false;6;56;230;886
974;true;false;8;76;221;887
975;true;false;5;14;215;888
976;true;false;8;71;216;888
977;true;false;9;82;277;889
978;true;false;5;4;227;890
979;true;false;8;73;228;890
980;true;false;5;24;209;891
981;true;false;5;29;210;891
982;true;false;8;70;211;891
983;true;false;5;1;212;892
984;true;false;5;34;213;892
985;true;false;8;76;214;892
986;true;false;5;10;206;893
987;true;false;6;51;207;893
988;true;false;7;63;146;904
989;true;false;5;23;173;905
990;true;false;7;62;174;905
991;true;false;5;37;149;906
992;true;false;9;87;150;906
993;true;false;5;17;170;907
994;true;false;5;17;171;907
