course_organization
id_course_organization;id_study_year;id_professor1;id_professor2;id_professor3;id_course
85;4;33;NULL;NULL;63259
86;4;10;NULL;NULL;63258
87;4;48;NULL;NULL;63261
88;4;35;NULL;NULL;63209
89;4;12;NULL;NULL;63284
90;4;40;NULL;NULL;63752
91;4;40;NULL;NULL;63242
92;4;23;NULL;NULL;63202
93;4;1;NULL;NULL;63213
94;4;59;NULL;NULL;63205
95;4;53;57;47;63248
96;4;31;NULL;NULL;63281
97;4;35;NULL;NULL;63214
98;4;23;NULL;NULL;63219
99;4;34;NULL;NULL;63208
100;3;5;NULL;NULL;63251
101;3;2;7;NULL;63266
102;3;6;NULL;NULL;63270
103;3;3;NULL;NULL;63207
104;3;4;NULL;NULL;63254
105;3;8;NULL;NULL;63220
106;3;2;NULL;NULL;63279
107;3;26;NULL;NULL;63517
108;3;5;NULL;NULL;63525
109;3;28;NULL;NULL;63741
110;3;30;NULL;NULL;63265
111;3;30;NULL;NULL;63722
112;3;20;NULL;NULL;63277
113;3;30;NULL;NULL;63278
114;3;29;NULL;NULL;63268
115;3;7;NULL;NULL;63263
116;3;18;NULL;NULL;63267
117;3;11;5;NULL;63520
118;3;55;NULL;NULL;63212
119;3;38;NULL;NULL;63260
120;3;24;NULL;NULL;63257
121;3;51;NULL;NULL;63709
122;3;26;NULL;NULL;63217
123;3;38;NULL;NULL;63218
124;3;33;NULL;NULL;63204
125;3;20;NULL;NULL;63256
126;3;58;NULL;NULL;63724
127;3;38;NULL;NULL;63738
128;3;32;NULL;NULL;63249
129;3;41;NULL;NULL;63250
130;3;43;NULL;NULL;63215
131;3;19;NULL;NULL;63707
132;3;19;NULL;NULL;63226
133;3;48;NULL;NULL;63216
134;3;33;NULL;NULL;63259
135;3;10;NULL;NULL;63258
136;3;48;NULL;NULL;63261
137;3;35;NULL;NULL;63209
138;3;12;NULL;NULL;63284
139;3;40;NULL;NULL;63752
140;3;40;NULL;NULL;63242
141;3;23;NULL;NULL;63202
142;3;1;NULL;NULL;63213
143;3;59;NULL;NULL;63205
144;3;53;57;47;63248
145;3;31;NULL;NULL;63281
146;3;35;NULL;NULL;63214
147;3;23;NULL;NULL;63219
148;3;34;NULL;NULL;63208
149;2;5;NULL;NULL;63251
150;2;2;7;NULL;63266
151;2;6;NULL;NULL;63270
152;2;3;NULL;NULL;63207
153;2;4;NULL;NULL;63254
154;2;8;NULL;NULL;63220
155;2;2;NULL;NULL;63279
156;2;26;NULL;NULL;63517
157;2;5;NULL;NULL;63525
158;2;28;NULL;NULL;63741
159;2;30;NULL;NULL;63265
160;2;30;NULL;NULL;63722
161;2;20;NULL;NULL;63277
162;2;30;NULL;NULL;63278
163;2;29;NULL;NULL;63268
164;2;7;NULL;NULL;63263
165;2;18;NULL;NULL;63267
166;2;11;5;NULL;63520
167;2;55;NULL;NULL;63212
168;2;38;NULL;NULL;63260
169;2;24;NULL;NULL;63257
170;2;51;NULL;NULL;63709
171;2;26;NULL;NULL;63217
172;2;38;NULL;NULL;63218
173;2;33;NULL;NULL;63204
174;2;20;NULL;NULL;63256
175;2;58;NULL;NULL;63724
176;2;38;NULL;NULL;63738
177;2;32;NULL;NULL;63249
178;2;41;NULL;NULL;63250
179;2;43;NULL;NULL;63215
180;2;19;NULL;NULL;63707
181;2;19;NULL;NULL;63226
182;2;48;NULL;NULL;63216
183;2;33;NULL;NULL;63259
184;2;10;NULL;NULL;63258
185;2;48;NULL;NULL;63261
186;2;35;NULL;NULL;63209
187;2;12;NULL;NULL;63284
188;2;40;NULL;NULL;63752
189;2;40;NULL;NULL;63242
190;2;23;NULL;NULL;63202
191;2;1;NULL;NULL;63213
192;2;59;NULL;NULL;63205
193;2;53;57;47;63248
194;2;31;NULL;NULL;63281
195;2;35;NULL;NULL;63214
196;2;23;NULL;NULL;63219
197;2;34;NULL;NULL;63208
198;1;5;NULL;NULL;63251
199;1;2;7;NULL;63266
200;1;6;NULL;NULL;63270
201;1;3;NULL;NULL;63207
202;1;4;NULL;NULL;63254
203;1;8;NULL;NULL;63220
204;1;2;NULL;NULL;63279
205;1;26;NULL;NULL;63517
206;1;5;NULL;NULL;63525
207;1;28;NULL;NULL;63741
208;1;30;NULL;NULL;63265
209;1;30;NULL;NULL;63722
210;1;20;NULL;NULL;63277
211;1;30;NULL;NULL;63278
212;1;29;NULL;NULL;63268
213;1;7;NULL;NULL;63263
214;1;18;NULL;NULL;63267
215;1;11;5;NULL;63520
216;1;55;NULL;NULL;63212
217;1;38;NULL;NULL;63260
218;1;24;NULL;NULL;63257
219;1;51;NULL;NULL;63709
220;1;26;NULL;NULL;63217
221;1;38;NULL;NULL;63218
222;1;33;NULL;NULL;63204
223;1;20;NULL;NULL;63256
224;1;58;NULL;NULL;63724
225;1;38;NULL;NULL;63738
226;1;32;NULL;NULL;63249
227;1;41;NULL;NULL;63250
228;1;43;NULL;NULL;63215
229;1;19;NULL;NULL;63707
230;1;19;NULL;NULL;63226
231;1;48;NULL;NULL;63216
232;1;33;NULL;NULL;63259
233;1;10;NULL;NULL;63258
234;1;48;NULL;NULL;63261
235;1;35;NULL;NULL;63209
236;1;12;NULL;NULL;63284
237;1;40;NULL;NULL;63752
238;1;40;NULL;NULL;63242
239;1;23;NULL;NULL;63202
240;1;1;NULL;NULL;63213
241;1;59;NULL;NULL;63205
242;1;53;57;47;63248
243;1;31;NULL;NULL;63281
244;1;35;NULL;NULL;63214
245;1;23;NULL;NULL;63219
246;1;34;NULL;NULL;63208
247;5;40;NULL;NULL;63203
248;4;40;NULL;NULL;63203
249;3;40;NULL;NULL;63203
250;2;40;NULL;NULL;63203
251;1;40;NULL;NULL;63203
252;5;26;NULL;NULL;63280
253;4;26;NULL;NULL;63280
254;3;26;NULL;NULL;63280
255;2;26;NULL;NULL;63280
256;1;26;NULL;NULL;63280
257;5;43;NULL;NULL;63255
258;4;43;NULL;NULL;63255
259;3;43;NULL;NULL;63255
260;2;43;NULL;NULL;63255
261;1;43;NULL;NULL;63255
